year,office,district,party,candidate
2002,State House,10A,CP,
2002,State House,10A,GP,
2002,State House,10A,I,
2002,State House,10A,IND,
2002,State House,10B,CP,
2002,State House,10B,DFL,
2002,State House,10B,GP,
2002,State House,10B,I,
2002,State House,10B,IND,
2002,State House,11A,CP,
2002,State House,11A,GP,
2002,State House,11A,I,
2002,State House,11A,IND,
2002,State House,11B,CP,
2002,State House,11B,GP,
2002,State House,11B,I,
2002,State House,12A,CP,
2002,State House,12A,GP,
2002,State House,12A,I,
2002,State House,12A,IND,
2002,State House,12B,CP,
2002,State House,12B,GP,
2002,State House,12B,I,
2002,State House,12B,IND,
2002,State House,13A,CP,
2002,State House,13A,GP,
2002,State House,13A,I,
2002,State House,13B,CP,
2002,State House,13B,GP,
2002,State House,13B,I,
2002,State House,13B,IND,
2002,State House,14A,CP,
2002,State House,14A,GP,
2002,State House,14A,I,
2002,State House,14B,CP,
2002,State House,14B,GP,
2002,State House,14B,I,
2002,State House,14B,IND,
2002,State House,15A,CP,
2002,State House,15A,GP,
2002,State House,15A,I,
2002,State House,15A,IND,
2002,State House,15B,CP,
2002,State House,15B,GP,
2002,State House,15B,I,
2002,State House,16A,CP,
2002,State House,16A,I,
2002,State House,16A,IND,
2002,State House,16B,CP,
2002,State House,16B,GP,
2002,State House,16B,I,
2002,State House,16B,IND,
2002,State House,17A,CP,
2002,State House,17A,GP,
2002,State House,17A,I,
2002,State House,17A,IND,
2002,State House,17B,CP,
2002,State House,17B,GP,
2002,State House,17B,I,
2002,State House,18A,CP,
2002,State House,18A,GP,
2002,State House,18A,I,
2002,State House,18A,IND,
2002,State House,18B,GP,
2002,State House,18B,I,
2002,State House,18B,IND,
2002,State House,19A,CP,
2002,State House,19A,GP,
2002,State House,19A,I,
2002,State House,19A,IND,
2002,State House,19B,CP,
2002,State House,19B,GP,
2002,State House,19B,I,
2002,State House,19B,IND,
2002,State House,1A,CP,
2002,State House,1A,GP,
2002,State House,1A,I,
2002,State House,1A,IND,
2002,State House,1B,CP,
2002,State House,1B,GP,
2002,State House,1B,I,
2002,State House,1B,IND,
2002,State House,20A,CP,
2002,State House,20A,GP,
2002,State House,20A,I,
2002,State House,20A,IND,
2002,State House,20B,CP,
2002,State House,20B,GP,
2002,State House,20B,I,
2002,State House,20B,IND,
2002,State House,21A,CP,
2002,State House,21A,GP,
2002,State House,21A,I,
2002,State House,21A,IND,
2002,State House,21B,CP,
2002,State House,21B,GP,
2002,State House,21B,I,
2002,State House,21B,IND,
2002,State House,22A,CP,
2002,State House,22A,GP,
2002,State House,22A,I,
2002,State House,22A,IND,
2002,State House,22B,CP,
2002,State House,22B,GP,
2002,State House,22B,I,
2002,State House,22B,IND,
2002,State House,23A,CP,
2002,State House,23A,I,
2002,State House,23A,IND,
2002,State House,23B,CP,
2002,State House,23B,I,
2002,State House,23B,IND,
2002,State House,24A,CP,
2002,State House,24A,GP,
2002,State House,24A,I,
2002,State House,24A,IND,
2002,State House,24B,CP,
2002,State House,24B,GP,
2002,State House,24B,I,
2002,State House,24B,IND,
2002,State House,25A,CP,
2002,State House,25A,GP,
2002,State House,25A,I,
2002,State House,25B,CP,
2002,State House,25B,GP,
2002,State House,25B,I,
2002,State House,25B,IND,
2002,State House,26A,CP,
2002,State House,26A,GP,
2002,State House,26A,I,
2002,State House,26A,IND,
2002,State House,26B,CP,
2002,State House,26B,GP,
2002,State House,26B,I,
2002,State House,26B,IND,
2002,State House,27A,CP,
2002,State House,27A,GP,
2002,State House,27A,I,
2002,State House,27A,IND,
2002,State House,27B,CP,
2002,State House,27B,GP,
2002,State House,27B,I,
2002,State House,27B,IND,
2002,State House,28A,CP,
2002,State House,28A,GP,
2002,State House,28A,I,
2002,State House,28A,IND,
2002,State House,28B,CP,
2002,State House,28B,GP,
2002,State House,28B,I,
2002,State House,28B,IND,
2002,State House,29A,CP,
2002,State House,29A,GP,
2002,State House,29A,I,
2002,State House,29B,CP,
2002,State House,29B,GP,
2002,State House,29B,I,
2002,State House,29B,IND,
2002,State House,2A,CP,
2002,State House,2A,GP,
2002,State House,2A,I,
2002,State House,2A,IND,
2002,State House,2B,CP,
2002,State House,2B,GP,
2002,State House,2B,I,
2002,State House,2B,IND,
2002,State House,30A,CP,
2002,State House,30A,GP,
2002,State House,30A,I,
2002,State House,30B,CP,
2002,State House,30B,GP,
2002,State House,30B,I,
2002,State House,30B,IND,
2002,State House,31A,CP,
2002,State House,31A,GP,
2002,State House,31A,I,
2002,State House,31A,IND,
2002,State House,31B,CP,
2002,State House,31B,GP,
2002,State House,31B,I,
2002,State House,31B,IND,
2002,State House,32A,CP,
2002,State House,32A,GP,
2002,State House,32A,I,
2002,State House,32B,CP,
2002,State House,32B,DFL,
2002,State House,32B,GP,
2002,State House,32B,I,
2002,State House,32B,IND,
2002,State House,33A,CP,
2002,State House,33A,GP,
2002,State House,33A,I,
2002,State House,33A,IND,
2002,State House,33B,CP,
2002,State House,33B,DFL,
2002,State House,33B,GP,
2002,State House,33B,I,
2002,State House,33B,IND,
2002,State House,34A,CP,
2002,State House,34A,GP,
2002,State House,34A,I,
2002,State House,34A,IND,
2002,State House,34B,CP,
2002,State House,34B,GP,
2002,State House,34B,I,
2002,State House,34B,IND,
2002,State House,35A,CP,
2002,State House,35A,I,
2002,State House,35A,IND,
2002,State House,35B,CP,
2002,State House,35B,GP,
2002,State House,35B,I,
2002,State House,35B,IND,
2002,State House,36A,CP,
2002,State House,36A,GP,
2002,State House,36A,I,
2002,State House,36A,IND,
2002,State House,36B,CP,
2002,State House,36B,GP,
2002,State House,36B,I,
2002,State House,36B,IND,
2002,State House,37A,CP,
2002,State House,37A,GP,
2002,State House,37A,I,
2002,State House,37B,CP,
2002,State House,37B,GP,
2002,State House,37B,I,
2002,State House,37B,IND,
2002,State House,38A,CP,
2002,State House,38A,GP,
2002,State House,38A,I,
2002,State House,38B,CP,
2002,State House,38B,I,
2002,State House,39A,CP,
2002,State House,39A,GP,
2002,State House,39A,I,
2002,State House,39A,IND,
2002,State House,39B,CP,
2002,State House,39B,I,
2002,State House,39B,IND,
2002,State House,3A,CP,
2002,State House,3A,GP,
2002,State House,3A,I,
2002,State House,3A,IND,
2002,State House,3A,R,
2002,State House,3B,CP,
2002,State House,3B,GP,
2002,State House,3B,I,
2002,State House,3B,IND,
2002,State House,40A,CP,
2002,State House,40A,I,
2002,State House,40A,IND,
2002,State House,40B,CP,
2002,State House,40B,GP,
2002,State House,40B,I,
2002,State House,41A,CP,
2002,State House,41A,GP,
2002,State House,41A,I,
2002,State House,41A,IND,
2002,State House,41B,CP,
2002,State House,41B,GP,
2002,State House,41B,I,
2002,State House,41B,IND,
2002,State House,42A,CP,
2002,State House,42A,GP,
2002,State House,42A,I,
2002,State House,42B,CP,
2002,State House,42B,GP,
2002,State House,42B,I,
2002,State House,42B,IND,
2002,State House,43A,CP,
2002,State House,43A,GP,
2002,State House,43A,I,
2002,State House,43A,IND,
2002,State House,43B,CP,
2002,State House,43B,GP,
2002,State House,43B,I,
2002,State House,43B,IND,
2002,State House,44A,CP,
2002,State House,44A,I,
2002,State House,44A,IND,
2002,State House,44B,CP,
2002,State House,44B,I,
2002,State House,44B,IND,
2002,State House,45A,CP,
2002,State House,45A,GP,
2002,State House,45A,I,
2002,State House,45A,IND,
2002,State House,45B,CP,
2002,State House,45B,GP,
2002,State House,45B,I,
2002,State House,45B,IND,
2002,State House,46A,CP,
2002,State House,46A,GP,
2002,State House,46A,I,
2002,State House,46A,IND,
2002,State House,46B,CP,
2002,State House,46B,GP,
2002,State House,46B,I,
2002,State House,47A,CP,
2002,State House,47A,GP,
2002,State House,47A,I,
2002,State House,47A,IND,
2002,State House,47B,CP,
2002,State House,47B,GP,
2002,State House,47B,I,
2002,State House,48A,CP,
2002,State House,48A,GP,
2002,State House,48A,I,
2002,State House,48A,IND,
2002,State House,48B,CP,
2002,State House,48B,I,
2002,State House,48B,IND,
2002,State House,49A,CP,
2002,State House,49A,GP,
2002,State House,49A,I,
2002,State House,49A,IND,
2002,State House,49B,CP,
2002,State House,49B,GP,
2002,State House,49B,I,
2002,State House,49B,IND,
2002,State House,4A,CP,
2002,State House,4A,GP,
2002,State House,4A,I,
2002,State House,4A,IND,
2002,State House,4B,CP,
2002,State House,4B,GP,
2002,State House,4B,I,
2002,State House,4B,IND,
2002,State House,50A,CP,
2002,State House,50A,GP,
2002,State House,50A,I,
2002,State House,50B,CP,
2002,State House,50B,GP,
2002,State House,50B,I,
2002,State House,50B,IND,
2002,State House,51A,CP,
2002,State House,51A,GP,
2002,State House,51A,I,
2002,State House,51A,IND,
2002,State House,51B,CP,
2002,State House,51B,GP,
2002,State House,51B,I,
2002,State House,51B,IND,
2002,State House,52A,CP,
2002,State House,52A,GP,
2002,State House,52A,I,
2002,State House,52A,IND,
2002,State House,52B,CP,
2002,State House,52B,GP,
2002,State House,52B,I,
2002,State House,52B,IND,
2002,State House,53A,CP,
2002,State House,53A,GP,
2002,State House,53A,I,
2002,State House,53B,CP,
2002,State House,53B,GP,
2002,State House,53B,I,
2002,State House,53B,IND,
2002,State House,54A,CP,
2002,State House,54A,I,
2002,State House,54A,IND,
2002,State House,54B,CP,
2002,State House,54B,GP,
2002,State House,54B,I,
2002,State House,54B,IND,
2002,State House,55A,CP,
2002,State House,55A,GP,
2002,State House,55A,I,
2002,State House,55A,IND,
2002,State House,55B,CP,
2002,State House,55B,GP,
2002,State House,55B,I,
2002,State House,55B,IND,
2002,State House,56A,CP,
2002,State House,56A,GP,
2002,State House,56A,I,
2002,State House,56A,IND,
2002,State House,56B,CP,
2002,State House,56B,GP,
2002,State House,56B,I,
2002,State House,56B,IND,
2002,State House,57A,CP,
2002,State House,57A,I,
2002,State House,57A,IND,
2002,State House,57B,CP,
2002,State House,57B,I,
2002,State House,57B,IND,
2002,State House,58A,CP,
2002,State House,58A,I,
2002,State House,58A,IND,
2002,State House,58B,CP,
2002,State House,59A,CP,
2002,State House,59A,GP,
2002,State House,59A,I,
2002,State House,59A,IND,
2002,State House,59A,R,
2002,State House,59B,CP,
2002,State House,59B,GP,
2002,State House,59B,I,
2002,State House,59B,IND,
2002,State House,59B,R,
2002,State House,5A,CP,
2002,State House,5A,GP,
2002,State House,5A,I,
2002,State House,5A,R,
2002,State House,5B,CP,
2002,State House,5B,GP,
2002,State House,5B,I,
2002,State House,5B,IND,
2002,State House,60A,CP,
2002,State House,60A,GP,
2002,State House,60A,I,
2002,State House,60A,IND,
2002,State House,60B,CP,
2002,State House,60B,GP,
2002,State House,60B,I,
2002,State House,60B,IND,
2002,State House,60B,R,
2002,State House,61A,CP,
2002,State House,61A,GP,
2002,State House,61A,I,
2002,State House,61A,IND,
2002,State House,61B,CP,
2002,State House,61B,GP,
2002,State House,61B,I,
2002,State House,62A,CP,
2002,State House,62A,GP,
2002,State House,62A,I,
2002,State House,62B,CP,
2002,State House,62B,GP,
2002,State House,62B,I,
2002,State House,62B,IND,
2002,State House,63A,CP,
2002,State House,63A,GP,
2002,State House,63A,I,
2002,State House,63B,CP,
2002,State House,63B,GP,
2002,State House,63B,I,
2002,State House,63B,IND,
2002,State House,64A,CP,
2002,State House,64A,GP,
2002,State House,64A,I,
2002,State House,64A,IND,
2002,State House,64B,CP,
2002,State House,64B,GP,
2002,State House,64B,I,
2002,State House,64B,IND,
2002,State House,65A,CP,
2002,State House,65A,GP,
2002,State House,65A,I,
2002,State House,65A,IND,
2002,State House,65B,CP,
2002,State House,65B,GP,
2002,State House,65B,I,
2002,State House,65B,IND,
2002,State House,66A,CP,
2002,State House,66A,GP,
2002,State House,66A,I,
2002,State House,66A,IND,
2002,State House,66B,CP,
2002,State House,66B,GP,
2002,State House,66B,I,
2002,State House,66B,IND,
2002,State House,67A,CP,
2002,State House,67A,GP,
2002,State House,67A,I,
2002,State House,67A,IND,
2002,State House,67B,CP,
2002,State House,67B,GP,
2002,State House,67B,I,
2002,State House,67B,IND,
2002,State House,6A,CP,
2002,State House,6A,GP,
2002,State House,6A,I,
2002,State House,6B,CP,
2002,State House,6B,GP,
2002,State House,6B,I,
2002,State House,6B,IND,
2002,State House,7A,CP,
2002,State House,7A,GP,
2002,State House,7A,I,
2002,State House,7A,IND,
2002,State House,7B,CP,
2002,State House,7B,GP,
2002,State House,7B,I,
2002,State House,8A,CP,
2002,State House,8A,GP,
2002,State House,8A,I,
2002,State House,8A,IND,
2002,State House,8B,CP,
2002,State House,8B,I,
2002,State House,9A,CP,
2002,State House,9A,I,
2002,State House,9A,IND,
2002,State House,9B,CP,
2002,State House,9B,GP,
2002,State House,9B,I,
2002,State House,9B,IND,
2002,State Senate,1,CP,
2002,State Senate,1,GP,
2002,State Senate,1,ICP,
2002,State Senate,1,IND,
2002,State Senate,10,CP,
2002,State Senate,10,GP,
2002,State Senate,10,ICP,
2002,State Senate,10,IND,
2002,State Senate,11,CP,
2002,State Senate,11,GP,
2002,State Senate,11,ICP,
2002,State Senate,11,IND,
2002,State Senate,12,CP,
2002,State Senate,12,GP,
2002,State Senate,12,ICP,
2002,State Senate,12,IND,
2002,State Senate,13,CP,
2002,State Senate,13,GP,
2002,State Senate,13,ICP,
2002,State Senate,13,IND,
2002,State Senate,14,CP,
2002,State Senate,14,GP,
2002,State Senate,14,ICP,
2002,State Senate,14,IND,
2002,State Senate,15,CP,
2002,State Senate,15,GP,
2002,State Senate,15,ICP,
2002,State Senate,15,IND,
2002,State Senate,16,CP,
2002,State Senate,16,GP,
2002,State Senate,16,ICP,
2002,State Senate,16,IND,
2002,State Senate,17,CP,
2002,State Senate,17,GP,
2002,State Senate,17,ICP,
2002,State Senate,17,IND,
2002,State Senate,18,GP,
2002,State Senate,18,ICP,
2002,State Senate,18,IND,
2002,State Senate,19,CP,
2002,State Senate,19,GP,
2002,State Senate,19,ICP,
2002,State Senate,19,IND,
2002,State Senate,2,CP,
2002,State Senate,2,GP,
2002,State Senate,2,ICP,
2002,State Senate,2,IND,
2002,State Senate,20,CP,
2002,State Senate,20,GP,
2002,State Senate,20,ICP,
2002,State Senate,20,IND,
2002,State Senate,21,CP,
2002,State Senate,21,DFL,
2002,State Senate,21,GP,
2002,State Senate,21,ICP,
2002,State Senate,21,IND,
2002,State Senate,22,CP,
2002,State Senate,22,GP,
2002,State Senate,22,ICP,
2002,State Senate,22,IND,
2002,State Senate,23,CP,
2002,State Senate,23,ICP,
2002,State Senate,24,CP,
2002,State Senate,24,GP,
2002,State Senate,24,ICP,
2002,State Senate,25,CP,
2002,State Senate,25,GP,
2002,State Senate,25,ICP,
2002,State Senate,25,IND,
2002,State Senate,26,CP,
2002,State Senate,26,ICP,
2002,State Senate,26,IND,
2002,State Senate,27,CP,
2002,State Senate,27,GP,
2002,State Senate,27,ICP,
2002,State Senate,28,CP,
2002,State Senate,28,GP,
2002,State Senate,28,ICP,
2002,State Senate,28,IND,
2002,State Senate,29,CP,
2002,State Senate,29,GP,
2002,State Senate,29,ICP,
2002,State Senate,3,CP,
2002,State Senate,3,GP,
2002,State Senate,3,ICP,
2002,State Senate,3,IND,
2002,State Senate,30,CP,
2002,State Senate,30,GP,
2002,State Senate,30,ICP,
2002,State Senate,31,CP,
2002,State Senate,31,GP,
2002,State Senate,31,ICP,
2002,State Senate,31,IND,
2002,State Senate,32,CP,
2002,State Senate,32,GP,
2002,State Senate,32,ICP,
2002,State Senate,32,IND,
2002,State Senate,33,CP,
2002,State Senate,33,GP,
2002,State Senate,33,ICP,
2002,State Senate,33,IND,
2002,State Senate,34,CP,
2002,State Senate,34,GP,
2002,State Senate,34,ICP,
2002,State Senate,35,CP,
2002,State Senate,35,GP,
2002,State Senate,35,ICP,
2002,State Senate,35,IND,
2002,State Senate,36,CP,
2002,State Senate,36,GP,
2002,State Senate,36,ICP,
2002,State Senate,36,IND,
2002,State Senate,37,CP,
2002,State Senate,37,GP,
2002,State Senate,37,ICP,
2002,State Senate,37,IND,
2002,State Senate,38,CP,
2002,State Senate,38,GP,
2002,State Senate,38,ICP,
2002,State Senate,38,IND,
2002,State Senate,39,CP,
2002,State Senate,39,GP,
2002,State Senate,39,ICP,
2002,State Senate,39,IND,
2002,State Senate,4,CP,
2002,State Senate,4,GP,
2002,State Senate,4,ICP,
2002,State Senate,4,IND,
2002,State Senate,40,CP,
2002,State Senate,40,GP,
2002,State Senate,40,ICP,
2002,State Senate,40,IND,
2002,State Senate,41,CP,
2002,State Senate,41,ICP,
2002,State Senate,42,CP,
2002,State Senate,42,GP,
2002,State Senate,42,ICP,
2002,State Senate,43,CP,
2002,State Senate,43,GP,
2002,State Senate,43,ICP,
2002,State Senate,44,CP,
2002,State Senate,44,ICP,
2002,State Senate,45,CP,
2002,State Senate,45,GP,
2002,State Senate,45,ICP,
2002,State Senate,45,IND,
2002,State Senate,46,CP,
2002,State Senate,46,GP,
2002,State Senate,46,ICP,
2002,State Senate,46,IND,
2002,State Senate,47,CP,
2002,State Senate,47,GP,
2002,State Senate,47,ICP,
2002,State Senate,48,CP,
2002,State Senate,48,GP,
2002,State Senate,48,ICP,
2002,State Senate,48,IND,
2002,State Senate,49,CP,
2002,State Senate,49,GP,
2002,State Senate,49,ICP,
2002,State Senate,49,IND,
2002,State Senate,5,CP,
2002,State Senate,5,GP,
2002,State Senate,5,ICP,
2002,State Senate,5,IND,
2002,State Senate,50,CP,
2002,State Senate,50,GP,
2002,State Senate,50,ICP,
2002,State Senate,50,IND,
2002,State Senate,51,CP,
2002,State Senate,51,GP,
2002,State Senate,51,ICP,
2002,State Senate,51,IND,
2002,State Senate,52,CP,
2002,State Senate,52,GP,
2002,State Senate,52,ICP,
2002,State Senate,52,IND,
2002,State Senate,53,CP,
2002,State Senate,53,GP,
2002,State Senate,53,ICP,
2002,State Senate,53,IND,
2002,State Senate,54,CP,
2002,State Senate,54,GP,
2002,State Senate,54,ICP,
2002,State Senate,54,IND,
2002,State Senate,55,CP,
2002,State Senate,55,GP,
2002,State Senate,55,ICP,
2002,State Senate,55,IND,
2002,State Senate,56,CP,
2002,State Senate,56,GP,
2002,State Senate,56,ICP,
2002,State Senate,56,IND,
2002,State Senate,57,CP,
2002,State Senate,57,ICP,
2002,State Senate,57,IND,
2002,State Senate,58,CP,
2002,State Senate,58,GP,
2002,State Senate,58,ICP,
2002,State Senate,59,CP,
2002,State Senate,59,GP,
2002,State Senate,59,ICP,
2002,State Senate,59,IND,
2002,State Senate,6,CP,
2002,State Senate,6,GP,
2002,State Senate,6,ICP,
2002,State Senate,6,R,
2002,State Senate,60,CP,
2002,State Senate,60,ICP,
2002,State Senate,60,IND,
2002,State Senate,60,R,
2002,State Senate,61,CP,
2002,State Senate,61,ICP,
2002,State Senate,61,IND,
2002,State Senate,62,CP,
2002,State Senate,62,ICP,
2002,State Senate,63,CP,
2002,State Senate,63,GP,
2002,State Senate,63,ICP,
2002,State Senate,64,CP,
2002,State Senate,64,GP,
2002,State Senate,64,ICP,
2002,State Senate,64,IND,
2002,State Senate,65,CP,
2002,State Senate,65,GP,
2002,State Senate,65,ICP,
2002,State Senate,65,IND,
2002,State Senate,65,R,
2002,State Senate,66,CP,
2002,State Senate,66,GP,
2002,State Senate,66,ICP,
2002,State Senate,66,IND,
2002,State Senate,67,CP,
2002,State Senate,67,GP,
2002,State Senate,67,ICP,
2002,State Senate,67,IND,
2002,State Senate,7,CP,
2002,State Senate,7,GP,
2002,State Senate,7,ICP,
2002,State Senate,7,IND,
2002,State Senate,8,CP,
2002,State Senate,8,GP,
2002,State Senate,9,CP,
2002,State Senate,9,GP,
2002,State Senate,9,ICP,
2002,U.S. House,1,IND,
2002,U.S. House,1,NNT,
2002,U.S. House,2,GP,
2002,U.S. House,2,IND,
2002,U.S. House,3,GP,
2002,U.S. House,3,IND,
2002,U.S. House,3,NNT,
2002,U.S. House,4,IND,
2002,U.S. House,4,NNT,
2002,U.S. House,5,IND,
2002,U.S. House,5,NNT,
2002,U.S. House,6,GP,
2002,U.S. House,6,NNT,
2002,U.S. House,7,GP,
2002,U.S. House,7,IND,
2002,U.S. House,7,NNT,
2002,U.S. House,8,GP,
2002,U.S. House,8,IND,
2002,U.S. House,8,NNT,
2004,President,NA,C,
2004,President,NA,SE,
2004,State House,10A,GP,
2004,State House,10A,IND,
2004,State House,10B,GP,
2004,State House,10B,IND,
2004,State House,11A,IND,
2004,State House,11B,GP,
2004,State House,11B,IND,
2004,State House,12A,GP,
2004,State House,12B,GP,
2004,State House,13A,GP,
2004,State House,13A,IND,
2004,State House,13B,GP,
2004,State House,13B,IND,
2004,State House,14A,GP,
2004,State House,14A,IND,
2004,State House,14B,GP,
2004,State House,14B,IND,
2004,State House,15A,GP,
2004,State House,15A,IND,
2004,State House,15B,GP,
