year,office,district,party,missing_rows
2012,State House,10A,IP,27
2012,State House,10B,IP,91
2012,State House,11B,IP,57
2012,State House,12B,IP,61
2012,State House,13A,IP,27
2012,State House,13B,IP,21
2012,State House,14A,IP,16
2012,State House,14B,IP,20
2012,State House,15A,IP,37
2012,State House,15B,IP,26
2012,State House,16A,IP,86
2012,State House,17A,IP,94
2012,State House,18A,IP,37
2012,State House,18B,IP,48
2012,State House,19A,IP,38
2012,State House,19A,R,38
2012,State House,19B,IP,16
2012,State House,1A,IP,155
2012,State House,1B,IP,123
2012,State House,20A,IP,21
2012,State House,20B,IP,25
2012,State House,21A,IP,33
2012,State House,21B,IP,54
2012,State House,22A,IP,110
2012,State House,22B,IP,88
2012,State House,23A,IP,88
2012,State House,23B,DFL,57
2012,State House,23B,IP,57
2012,State House,24A,IP,23
2012,State House,24B,IP,28
2012,State House,25A,IP,24
2012,State House,25B,IP,18
2012,State House,26A,IP,21
2012,State House,26B,IP,31
2012,State House,27B,IP,41
2012,State House,28A,IP,34
2012,State House,28B,IP,64
2012,State House,29A,IP,23
2012,State House,2A,IP,107
2012,State House,2B,IP,87
2012,State House,30A,IP,15
2012,State House,30B,IP,8
2012,State House,31A,IP,18
2012,State House,31B,IP,13
2012,State House,32A,IP,19
2012,State House,32B,IP,14
2012,State House,33A,IP,18
2012,State House,33B,IP,21
2012,State House,34A,IP,14
2012,State House,34B,IP,15
2012,State House,35B,IP,13
2012,State House,36A,IP,10
2012,State House,37A,IP,17
2012,State House,37B,IP,15
2012,State House,38A,IP,16
2012,State House,38B,IP,13
2012,State House,39A,IP,15
2012,State House,39B,IP,18
2012,State House,3A,IP,83
2012,State House,3B,IP,20
2012,State House,40A,IP,11
2012,State House,40A,R,11
2012,State House,40B,IP,10
2012,State House,41A,IP,15
2012,State House,41B,IP,15
2012,State House,42A,IP,13
2012,State House,42B,IP,14
2012,State House,43A,IP,17
2012,State House,43B,IP,12
2012,State House,44A,IP,12
2012,State House,44B,IP,18
2012,State House,45A,IP,16
2012,State House,45B,IP,15
2012,State House,46A,IP,14
2012,State House,46B,IP,15
2012,State House,47A,IP,21
2012,State House,47B,DFL,10
2012,State House,47B,IP,10
2012,State House,48A,IP,17
2012,State House,48B,IP,11
2012,State House,49A,IP,16
2012,State House,49B,IP,18
2012,State House,4A,IP,16
2012,State House,4B,IP,82
2012,State House,50B,IP,15
2012,State House,51A,IP,11
2012,State House,51B,IP,13
2012,State House,52A,IP,14
2012,State House,52B,IP,14
2012,State House,53A,IP,14
2012,State House,53B,IP,10
2012,State House,54B,IP,19
2012,State House,55A,IP,14
2012,State House,55B,IP,16
2012,State House,56A,IP,12
2012,State House,56B,IP,11
2012,State House,57A,IP,13
2012,State House,57B,IP,13
2012,State House,58A,IP,12
2012,State House,58B,IP,27
2012,State House,59A,IP,10
2012,State House,59B,IP,12
2012,State House,5A,IP,70
2012,State House,5B,IP,58
2012,State House,60A,IP,12
2012,State House,60B,IP,12
2012,State House,61A,IP,15
2012,State House,61B,IP,13
2012,State House,62A,IP,12
2012,State House,62B,IP,11
2012,State House,63A,IP,14
2012,State House,63B,IP,13
2012,State House,64A,IP,16
2012,State House,64B,IP,14
2012,State House,65A,IP,12
2012,State House,65B,IP,14
2012,State House,66B,IP,11
2012,State House,67A,IP,13
2012,State House,67B,IP,14
2012,State House,6A,IP,62
2012,State House,6B,IP,53
2012,State House,7A,IP,15
2012,State House,7B,IP,17
2012,State House,8A,IP,51
2012,State House,8B,IP,54
2012,State House,9A,IP,71
2012,State House,9B,IP,55
2012,State Senate,1,DIST,278
2012,State Senate,1,IP,278
2012,State Senate,10,DIST,118
2012,State Senate,10,IP,118
2012,State Senate,11,DIST,104
2012,State Senate,11,IP,104
2012,State Senate,12,DIST,208
2012,State Senate,12,IP,208
2012,State Senate,13,DIST,48
2012,State Senate,13,IP,48
2012,State Senate,14,DIST,36
2012,State Senate,14,IP,36
2012,State Senate,15,DIST,63
2012,State Senate,15,IP,63
2012,State Senate,16,DIST,154
2012,State Senate,16,IP,154
2012,State Senate,17,DIST,134
2012,State Senate,17,IP,134
2012,State Senate,18,DIST,85
2012,State Senate,18,IP,85
2012,State Senate,19,DIST,54
2012,State Senate,19,IP,54
2012,State Senate,19,R,54
2012,State Senate,2,DIST,194
2012,State Senate,2,IP,194
2012,State Senate,20,DIST,46
2012,State Senate,20,IP,46
2012,State Senate,21,DIST,87
2012,State Senate,21,IP,87
2012,State Senate,22,DIST,198
2012,State Senate,22,IP,198
2012,State Senate,23,DIST,145
2012,State Senate,23,IP,145
2012,State Senate,24,DIST,51
2012,State Senate,24,IP,51
2012,State Senate,25,DIST,42
2012,State Senate,25,IP,42
2012,State Senate,26,DIST,52
2012,State Senate,26,IP,52
2012,State Senate,27,DIST,92
2012,State Senate,27,IP,92
2012,State Senate,28,DIST,98
2012,State Senate,28,IP,98
2012,State Senate,29,DIST,32
2012,State Senate,29,IP,32
2012,State Senate,3,DIST,103
2012,State Senate,3,IP,103
2012,State Senate,30,DIST,23
2012,State Senate,30,IP,23
2012,State Senate,31,DIST,31
2012,State Senate,31,IP,31
2012,State Senate,32,DIST,33
2012,State Senate,32,IP,33
2012,State Senate,33,DIST,39
2012,State Senate,33,IP,39
2012,State Senate,34,DIST,29
2012,State Senate,34,IP,29
2012,State Senate,35,DIST,28
2012,State Senate,35,IP,28
2012,State Senate,36,DIST,24
2012,State Senate,36,IP,24
2012,State Senate,37,DIST,32
2012,State Senate,37,IP,32
2012,State Senate,38,DIST,29
2012,State Senate,38,IP,29
2012,State Senate,39,DIST,33
2012,State Senate,39,IP,33
2012,State Senate,4,DIST,98
2012,State Senate,4,IP,98
2012,State Senate,40,DIST,21
2012,State Senate,40,IP,21
2012,State Senate,40,R,21
2012,State Senate,41,DIST,30
2012,State Senate,41,IP,30
2012,State Senate,42,DIST,27
2012,State Senate,42,IP,27
2012,State Senate,43,DIST,29
2012,State Senate,43,IP,29
2012,State Senate,44,DIST,30
2012,State Senate,44,IP,30
2012,State Senate,45,DIST,31
2012,State Senate,45,IP,31
2012,State Senate,46,DIST,29
2012,State Senate,46,IP,29
2012,State Senate,47,DIST,31
2012,State Senate,47,IP,31
2012,State Senate,48,DIST,28
2012,State Senate,48,IP,28
2012,State Senate,49,DIST,34
2012,State Senate,49,IP,34
2012,State Senate,5,DIST,128
2012,State Senate,5,IP,128
2012,State Senate,50,DIST,26
2012,State Senate,50,IP,26
2012,State Senate,51,DIST,24
2012,State Senate,51,IP,24
2012,State Senate,52,DIST,28
2012,State Senate,52,IP,28
2012,State Senate,53,DIST,24
2012,State Senate,53,IP,24
2012,State Senate,54,DIST,34
2012,State Senate,54,IP,34
2012,State Senate,55,DIST,30
2012,State Senate,55,IP,30
2012,State Senate,56,DIST,23
2012,State Senate,56,IP,23
2012,State Senate,57,DIST,26
2012,State Senate,57,IP,26
2012,State Senate,58,DIST,39
2012,State Senate,58,IP,39
2012,State Senate,59,DIST,22
2012,State Senate,59,IP,22
2012,State Senate,6,DIST,115
2012,State Senate,6,IP,115
2012,State Senate,60,DIST,24
2012,State Senate,61,DIST,28
2012,State Senate,61,IP,28
2012,State Senate,61,R,28
2012,State Senate,62,DIST,23
2012,State Senate,62,R,23
2012,State Senate,63,DIST,27
2012,State Senate,63,IP,27
2012,State Senate,64,DIST,30
2012,State Senate,65,DIST,26
2012,State Senate,65,IP,26
2012,State Senate,66,DIST,24
2012,State Senate,66,IP,24
2012,State Senate,67,DIST,27
2012,State Senate,67,IP,27
2012,State Senate,7,DIST,32
2012,State Senate,7,IP,32
2012,State Senate,8,DIST,105
2012,State Senate,8,IP,105
2012,State Senate,9,DIST,126
2012,State Senate,9,IP,126
2012,U.S. House,1,IP,695
2012,U.S. House,2,IP,291
2012,U.S. House,3,IP,246
2012,U.S. House,5,IP,221
2012,U.S. House,6,IP,280
2012,U.S. House,8,IP,812
2014,State House,10A,IP,27
2014,State House,10B,IP,91
2014,State House,11A,IP,47
2014,State House,11B,IP,57
2014,State House,12A,IP,147
2014,State House,12B,IP,61
2014,State House,13A,IP,26
2014,State House,13B,DFL,21
2014,State House,13B,IP,21
2014,State House,14A,IP,16
2014,State House,14B,IP,20
2014,State House,15A,IP,37
2014,State House,15B,IP,26
2014,State House,16A,IP,86
2014,State House,16B,IP,68
2014,State House,17A,IP,94
2014,State House,17B,IP,40
2014,State House,18A,IP,37
2014,State House,18B,IP,48
2014,State House,19A,IP,38
2014,State House,19B,IP,17
2014,State House,1A,IP,155
2014,State House,1B,IP,123
2014,State House,20A,IP,21
2014,State House,20B,IP,25
2014,State House,21A,IP,33
2014,State House,21B,IP,54
2014,State House,22A,IP,110
2014,State House,22B,IP,88
2014,State House,23A,IP,88
2014,State House,23B,DFL,57
2014,State House,23B,IP,57
2014,State House,24A,IP,23
2014,State House,24B,IP,28
2014,State House,25A,DFL,25
2014,State House,25A,IP,25
2014,State House,25B,IP,18
2014,State House,25B,R,18
2014,State House,26A,IP,21
2014,State House,26B,IP,31
2014,State House,27B,IP,41
2014,State House,28A,IP,34
2014,State House,28B,IP,64
2014,State House,29A,DFL,23
2014,State House,29A,IP,23
2014,State House,29B,DFL,9
2014,State House,29B,IP,9
2014,State House,2A,IP,107
2014,State House,2B,IP,87
2014,State House,30A,IP,15
2014,State House,30B,IP,8
2014,State House,31A,DFL,18
2014,State House,31A,IP,18
2014,State House,31B,IP,13
2014,State House,32A,IP,19
2014,State House,32B,IP,14
2014,State House,33A,IP,18
2014,State House,33B,IP,21
2014,State House,34A,DFL,14
2014,State House,34A,IP,14
2014,State House,34B,IP,15
2014,State House,35A,IP,15
2014,State House,35B,IP,13
2014,State House,36A,IP,10
2014,State House,36B,IP,14
2014,State House,37A,IP,17
2014,State House,37B,IP,15
2014,State House,38A,IP,16
2014,State House,38B,IP,13
2014,State House,39A,IP,15
2014,State House,39B,IP,17
2014,State House,3A,IP,83
2014,State House,3B,IP,20
2014,State House,40A,IP,11
2014,State House,40B,IP,10
2014,State House,41A,IP,15
2014,State House,41B,IP,15
2014,State House,42A,IP,13
2014,State House,42B,IP,14
2014,State House,43A,IP,17
2014,State House,43B,IP,12
2014,State House,44A,IP,12
2014,State House,44B,IP,18
2014,State House,45A,IP,16
2014,State House,45B,IP,15
2014,State House,46A,IP,14
2014,State House,46B,IP,15
2014,State House,47A,IP,21
2014,State House,47B,DFL,9
2014,State House,47B,IP,9
2014,State House,48A,IP,17
2014,State House,48B,IP,12
2014,State House,49A,IP,16
2014,State House,49B,IP,18
2014,State House,4A,IP,16
2014,State House,4B,IP,82
2014,State House,50A,IP,11
2014,State House,50B,IP,15
2014,State House,51A,IP,11
2014,State House,51B,IP,13
2014,State House,52A,IP,14
2014,State House,52B,IP,14
2014,State House,53A,IP,13
2014,State House,53B,IP,10
2014,State House,54A,IP,15
2014,State House,54B,IP,19
2014,State House,56A,IP,12
2014,State House,56B,IP,11
2014,State House,57A,IP,13
2014,State House,57B,IP,13
2014,State House,58A,IP,12
2014,State House,58B,IP,27
2014,State House,59A,IP,10
2014,State House,59B,IP,15
2014,State House,5A,IP,70
2014,State House,5B,IP,56
2014,State House,60A,IP,14
2014,State House,60B,IP,12
2014,State House,61A,IP,15
2014,State House,61B,IP,14
2014,State House,62B,IP,11
2014,State House,63A,IP,15
2014,State House,63B,IP,14
2014,State House,64A,IP,16
2014,State House,64B,IP,14
2014,State House,65A,IP,12
2014,State House,65B,IP,14
2014,State House,66A,IP,13
2014,State House,66B,IP,11
2014,State House,67A,IP,13
2014,State House,67B,IP,14
2014,State House,6A,IP,62
2014,State House,6B,IP,53
2014,State House,7A,IP,15
2014,State House,7B,IP,17
2014,State House,8A,IP,51
2014,State House,8B,IP,54
2014,State House,9A,IP,71
2014,State House,9B,IP,55
2014,State Senate,1,DIST,278
2014,State Senate,10,DIST,118
2014,State Senate,11,DIST,104
2014,State Senate,12,DIST,208
2014,State Senate,13,DIST,47
2014,State Senate,14,DIST,36
2014,State Senate,15,DIST,63
2014,State Senate,16,DIST,154
2014,State Senate,17,DIST,134
2014,State Senate,18,DIST,85
2014,State Senate,19,DIST,55
2014,State Senate,2,DIST,194
2014,State Senate,20,DIST,46
2014,State Senate,21,DIST,87
2014,State Senate,22,DIST,198
2014,State Senate,23,DIST,145
2014,State Senate,24,DIST,51
2014,State Senate,25,DIST,43
2014,State Senate,26,DIST,52
2014,State Senate,27,DIST,91
2014,State Senate,28,DIST,98
2014,State Senate,29,DIST,32
2014,State Senate,3,DIST,103
2014,State Senate,30,DIST,23
2014,State Senate,31,DIST,31
2014,State Senate,32,DIST,33
2014,State Senate,33,DIST,39
2014,State Senate,34,DIST,29
2014,State Senate,35,DIST,28
2014,State Senate,36,DIST,24
2014,State Senate,37,DIST,32
2014,State Senate,38,DIST,29
2014,State Senate,39,DIST,32
2014,State Senate,4,DIST,98
2014,State Senate,40,DIST,21
2014,State Senate,41,DIST,30
2014,State Senate,42,DIST,27
2014,State Senate,43,DIST,29
2014,State Senate,44,DIST,30
2014,State Senate,45,DIST,31
2014,State Senate,46,DIST,29
2014,State Senate,47,DIST,30
2014,State Senate,48,DIST,29
2014,State Senate,49,DIST,34
2014,State Senate,5,DIST,126
2014,State Senate,50,DIST,26
2014,State Senate,51,DIST,24
2014,State Senate,52,DIST,28
2014,State Senate,53,DIST,23
2014,State Senate,54,DIST,34
2014,State Senate,55,DIST,30
2014,State Senate,56,DIST,23
2014,State Senate,57,DIST,26
2014,State Senate,58,DIST,39
2014,State Senate,59,DIST,25
2014,State Senate,6,DIST,115
2014,State Senate,60,DIST,26
2014,State Senate,61,DIST,29
2014,State Senate,62,DIST,23
2014,State Senate,63,DIST,29
2014,State Senate,64,DIST,30
2014,State Senate,65,DIST,26
2014,State Senate,66,DIST,24
2014,State Senate,67,DIST,27
2014,State Senate,7,DIST,32
2014,State Senate,8,DIST,105
2014,State Senate,9,DIST,126
2014,U.S. House,1,IP,696
2014,U.S. House,3,IP,246
2014,U.S. House,7,IP,1327
2014,U.S. House,8,IP,810
2016,State House,12B,DFL,61
2016,State House,18A,DFL,37
2016,State House,32B,DFL,14
2016,State House,32B,R,14
2016,State House,40A,R,11
2016,State House,60A,R,14
2016,State House,62B,R,12
2016,State Senate,1,DIST,278
2016,State Senate,10,DIST,118
2016,State Senate,11,DIST,103
2016,State Senate,12,DIST,208
2016,State Senate,13,DIST,47
2016,State Senate,14,DIST,36
2016,State Senate,15,DIST,63
2016,State Senate,16,DIST,154
2016,State Senate,17,DIST,135
2016,State Senate,18,DIST,85
2016,State Senate,19,DIST,55
2016,State Senate,2,DIST,194
2016,State Senate,20,DIST,46
2016,State Senate,21,DIST,87
2016,State Senate,22,DIST,198
2016,State Senate,23,DIST,145
2016,State Senate,24,DIST,51
2016,State Senate,25,DIST,43
2016,State Senate,26,DIST,52
2016,State Senate,27,DIST,92
2016,State Senate,28,DIST,98
2016,State Senate,29,DIST,32
2016,State Senate,3,DIST,103
2016,State Senate,30,DIST,23
2016,State Senate,31,DIST,32
2016,State Senate,32,DIST,34
2016,State Senate,33,DIST,39
2016,State Senate,34,DIST,30
2016,State Senate,35,DIST,28
2016,State Senate,36,DIST,24
2016,State Senate,37,DIST,32
2016,State Senate,38,DIST,29
2016,State Senate,39,DIST,32
2016,State Senate,4,DIST,99
2016,State Senate,40,DIST,21
2016,State Senate,41,DIST,33
2016,State Senate,42,DIST,26
2016,State Senate,43,DIST,29
2016,State Senate,44,DIST,30
2016,State Senate,45,DIST,31
2016,State Senate,46,DIST,29
2016,State Senate,46,R,29
2016,State Senate,47,DIST,30
2016,State Senate,48,DIST,29
2016,State Senate,49,DIST,34
2016,State Senate,5,DIST,127
2016,State Senate,50,DIST,26
2016,State Senate,51,DIST,24
2016,State Senate,52,DIST,28
2016,State Senate,53,DIST,23
2016,State Senate,54,DIST,34
2016,State Senate,55,DIST,30
2016,State Senate,56,DIST,24
2016,State Senate,57,DIST,26
2016,State Senate,58,DIST,39
2016,State Senate,59,DIST,25
2016,State Senate,6,DIST,114
2016,State Senate,60,DIST,26
2016,State Senate,60,R,26
2016,State Senate,61,DIST,32
2016,State Senate,62,DIST,25
2016,State Senate,63,DIST,31
2016,State Senate,64,DIST,30
2016,State Senate,65,DIST,27
2016,State Senate,66,DIST,24
2016,State Senate,67,DIST,25
2016,State Senate,7,DIST,32
2016,State Senate,8,DIST,105
2016,State Senate,9,DIST,126
2018,State House,28A,R,34
2018,State House,41B,R,16
2018,State House,67A,R,11
2018,State House,NO DATA,DFL,1
2018,State House,NO DATA,R,1
2018,State Senate,1,DFL,277
2018,State Senate,1,DIST,277
2018,State Senate,1,R,277
2018,State Senate,10,DFL,118
2018,State Senate,10,DIST,118
2018,State Senate,10,R,118
2018,State Senate,11,DFL,103
2018,State Senate,11,DIST,103
2018,State Senate,11,R,103
2018,State Senate,12,DFL,208
2018,State Senate,12,DIST,208
2018,State Senate,12,R,208
2018,State Senate,13,DIST,47
2018,State Senate,14,DFL,35
2018,State Senate,14,DIST,35
2018,State Senate,14,R,35
2018,State Senate,15,DFL,63
2018,State Senate,15,DIST,63
2018,State Senate,15,R,63
2018,State Senate,16,DFL,154
2018,State Senate,16,DIST,154
2018,State Senate,16,R,154
2018,State Senate,17,DFL,135
2018,State Senate,17,DIST,135
2018,State Senate,17,R,135
2018,State Senate,18,DFL,85
2018,State Senate,18,DIST,85
2018,State Senate,18,R,85
2018,State Senate,19,DFL,55
2018,State Senate,19,DIST,55
2018,State Senate,19,R,55
2018,State Senate,2,DFL,194
2018,State Senate,2,DIST,194
2018,State Senate,2,R,194
2018,State Senate,20,DFL,46
2018,State Senate,20,DIST,46
2018,State Senate,20,R,46
2018,State Senate,21,DFL,87
2018,State Senate,21,DIST,87
2018,State Senate,21,R,87
2018,State Senate,22,DFL,198
2018,State Senate,22,DIST,198
2018,State Senate,22,R,198
2018,State Senate,23,DFL,145
2018,State Senate,23,DIST,145
2018,State Senate,23,R,145
2018,State Senate,24,DFL,51
2018,State Senate,24,DIST,51
2018,State Senate,24,R,51
2018,State Senate,25,DFL,43
2018,State Senate,25,DIST,43
2018,State Senate,25,R,43
2018,State Senate,26,DFL,52
2018,State Senate,26,DIST,52
2018,State Senate,26,R,52
2018,State Senate,27,DFL,93
2018,State Senate,27,DIST,93
2018,State Senate,27,R,93
2018,State Senate,28,DFL,98
2018,State Senate,28,DIST,98
2018,State Senate,28,R,98
2018,State Senate,29,DFL,32
2018,State Senate,29,DIST,32
